order_id,customer_id,restaurant_id,order_date,order_time,delivery_status,total_amount,prep_time,delivery_time,rider_id
1,81,8,2022-01-01,12:34,delivered,4336,19,48,11.0
2,231,9,2022-01-01,21:06,delivered,2200,22,39,
3,33,16,2022-01-01,16:22,delivered,5645,38,31,12.0
4,172,8,2022-01-01,15:26,delivered,3570,15,32,37.0
5,431,14,2022-01-01,12:00,delivered,3028,37,34,35.0
6,283,9,2022-01-01,19:41,delivered,4939,27,36,14.0
7,241,20,2022-01-01,13:29,delivered,4532,37,36,32.0
8,237,15,2022-01-01,20:28,delivered,3059,27,36,
9,187,19,2022-01-01,15:27,delivered,4625,24,36,32.0
10,62,6,2022-01-01,21:27,delivered,3643,26,42,
11,446,11,2022-01-01,19:54,delivered,5419,39,59,20.0
12,225,1,2022-01-01,18:26,delivered,4680,34,59,39.0
13,233,3,2022-01-01,16:05,delivered,3479,23,42,
14,165,1,2022-01-01,12:41,delivered,2683,38,59,
15,374,9,2022-01-01,13:48,delivered,3853,31,56,15.0
16,295,2,2022-01-01,12:48,delivered,3636,31,59,12.0
17,113,2,2022-01-01,11:27,delivered,3589,37,56,17.0
18,385,19,2022-01-01,11:52,delivered,3707,20,30,37.0
19,324,11,2022-01-01,17:58,delivered,2400,20,52,32.0
20,325,20,2022-01-01,11:05,delivered,5029,25,53,
21,97,9,2022-01-02,21:58,delivered,5397,30,45,48.0
22,148,4,2022-01-02,12:25,delivered,3986,33,32,29.0
23,308,9,2022-01-02,10:39,delivered,3663,21,36,20.0
24,360,1,2022-01-02,20:27,delivered,4520,32,47,
25,298,3,2022-01-02,16:59,delivered,4191,30,59,23.0
26,385,16,2022-01-02,21:04,delivered,5108,37,31,49.0
27,233,3,2022-01-02,12:47,delivered,4255,17,38,
28,152,1,2022-01-02,17:51,delivered,2586,31,49,
29,422,8,2022-01-02,13:34,delivered,5183,39,33,8.0
30,349,18,2022-01-02,11:01,delivered,4869,17,54,35.0
31,169,4,2022-01-02,10:03,delivered,4848,28,58,16.0
32,404,8,2022-01-02,16:02,delivered,2400,15,45,21.0
33,443,19,2022-01-02,15:54,delivered,3045,28,41,48.0
34,230,13,2022-01-02,12:53,delivered,3799,16,35,30.0
35,97,15,2022-01-02,10:04,delivered,5067,30,59,21.0
36,35,17,2022-01-02,10:43,delivered,3243,28,33,19.0
37,380,9,2022-01-02,14:23,delivered,5420,31,32,6.0
38,95,3,2022-01-02,21:32,delivered,3139,35,50,46.0
39,161,3,2022-01-02,11:24,delivered,3758,36,52,32.0
40,174,18,2022-01-02,15:22,delivered,5009,24,37,3.0
41,273,8,2022-01-03,10:08,delivered,5882,36,55,2.0
42,39,10,2022-01-03,16:25,delivered,3890,32,45,
43,13,7,2022-01-03,18:35,delivered,2684,34,53,25.0
44,494,16,2022-01-03,21:50,delivered,4518,29,37,1.0
45,354,2,2022-01-03,16:21,delivered,2050,39,57,
46,58,17,2022-01-03,13:41,delivered,2837,29,55,22.0
47,491,5,2022-01-03,10:07,delivered,5124,26,51,
48,103,4,2022-01-03,15:44,delivered,2991,34,34,44.0
49,355,8,2022-01-03,13:15,delivered,2268,32,44,30.0
50,147,17,2022-01-03,17:18,delivered,5675,37,59,42.0
51,474,9,2022-01-03,21:52,delivered,3664,15,34,26.0
52,96,16,2022-01-03,18:39,delivered,5308,35,31,47.0
53,189,7,2022-01-03,14:21,delivered,4908,37,45,1.0
54,154,16,2022-01-03,12:36,delivered,5157,39,41,3.0
55,220,5,2022-01-03,10:29,delivered,3773,34,43,29.0
56,400,16,2022-01-03,14:38,delivered,3635,15,41,5.0
57,222,5,2022-01-03,16:57,delivered,4569,36,59,
58,290,20,2022-01-03,19:57,delivered,5730,15,33,5.0
59,325,13,2022-01-03,13:15,delivered,4839,30,53,
60,476,20,2022-01-03,17:11,delivered,4737,17,46,2.0
61,445,19,2022-01-04,20:36,delivered,3291,17,30,33.0
62,168,10,2022-01-04,20:43,delivered,2284,27,30,1.0
63,386,19,2022-01-04,11:34,delivered,4774,31,43,12.0
64,93,10,2022-01-04,19:33,delivered,2114,23,37,26.0
65,314,18,2022-01-04,20:28,delivered,5447,18,33,7.0
66,249,4,2022-01-04,19:36,delivered,4504,38,50,25.0
67,99,16,2022-01-04,13:17,delivered,3008,21,46,35.0
68,151,5,2022-01-04,21:48,delivered,5766,27,53,
69,355,9,2022-01-04,10:48,delivered,4109,34,54,23.0
70,342,13,2022-01-04,20:18,delivered,4224,18,54,48.0
71,233,19,2022-01-04,21:08,delivered,4502,28,58,12.0
72,339,15,2022-01-04,14:04,delivered,5170,26,49,31.0
73,379,4,2022-01-04,14:22,delivered,3167,39,49,25.0
